epoch,train_loss,val_loss
1,2.5794642234745218,2.7236612800652082
2,2.376901984354091,2.9899911816516154
3,1.6536970545871805,0.8067060333016589
4,1.3001563388778217,1.0305752243423654
5,1.1004148619559602,1.6978156707983494
6,0.8852855717900121,0.9805396478722812
7,0.6701978396380331,0.7788632324531842
8,0.49627028451692784,0.3835999174900635
9,0.33900904678923555,0.32174579786929447
10,0.2086959417135817,0.0780851125440286
11,0.11386254753519952,0.07036013741212985
12,0.06941237170213127,0.06583752364075847
13,0.06090684911277231,0.060386133603970084
14,0.06736237838145422,0.07593558557262169
15,0.11036333529110282,0.1114190012838065
16,0.2036239631550338,0.32762912131965544
17,0.3338021037546587,0.3309868582528669
18,0.46245852879790467,0.7271134945590537
19,0.5535361642092624,0.1808027714586078
